Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Core Processor,Core Size,Speed,Connectivity,Peripherals,Number of I/O,Program Memory Size,Program Memory Type,EEPROM Size,RAM Size,Voltage - Supply (Vcc/Vdd),Data Converters,Oscillator Type,Operating Temperature,Package / Case,Supplier Device Package,Stock,Package,Device
http://www.atmel.com/Images/Atmel-7598_Automotive-Microcontrollers-ATtiny25-45-85_Datasheet.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY85-15SZCT-ND,ATTINY85-15SZ,Atmel,IC MCU 8BIT 8KB FLASH 8SOIC,5311,0,4.71,0,1,Cut Tape (CT),"Automotive, AEC-Q100, AVR¨ ATtiny",AVR,8-Bit,16MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,8KB (4K x 16),FLASH,512 x 8,512 x 8,2.7 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 125¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-7598_Automotive-Microcontrollers-ATtiny25-45-85_Datasheet.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY85-15ST1CT-ND,ATTINY85-15ST1,Atmel,IC MCU 8BIT 8KB FLASH 8SOIC,854,0,4.46,0,1,Cut Tape (CT),"Automotive, AEC-Q100, AVR¨ ATtiny",AVR,8-Bit,16MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,8KB (4K x 16),FLASH,512 x 8,512 x 8,2.7 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 105¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-7598_Automotive-Microcontrollers-ATtiny25-45-85_Datasheet.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY85V-15STCT-ND,ATTINY85V-15ST,Atmel,IC MCU 8BIT 8KB FLASH 8SOIC,5493,0,4.23,0,1,Cut Tape (CT),AVR¨ ATtiny,AVR,8-Bit,8MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,8KB (4K x 16),FLASH,512 x 8,512 x 8,1.8 V ~ 3.6 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-7598_Automotive-Microcontrollers-ATtiny25-45-85_Datasheet.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY85-15STCT-ND,ATTINY85-15ST,Atmel,IC MCU 8BIT 8KB FLASH 8SOIC,3410,0,4.23,0,1,Cut Tape (CT),"Automotive, AEC-Q100, AVR¨ ATtiny",AVR,8-Bit,16MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,8KB (4K x 16),FLASH,512 x 8,512 x 8,2.7 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-7598_Automotive-Microcontrollers-ATtiny25-45-85_Datasheet.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY45-15SZCT-ND,ATTINY45-15SZ,Atmel,IC MCU 8BIT 4KB FLASH 8SOIC,3805,0,3.5,0,1,Cut Tape (CT),"Automotive, AEC-Q100, AVR¨ ATtiny",AVR,8-Bit,16MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,4KB (2K x 16),FLASH,256 x 8,256 x 8,2.7 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 125¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-7598_Automotive-Microcontrollers-ATtiny25-45-85_Datasheet.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY45-15ST1CT-ND,ATTINY45-15ST1,Atmel,IC MCU 8BIT 4KB FLASH 8SOIC,1692,0,3.33,0,1,Cut Tape (CT),"Automotive, AEC-Q100, AVR¨ ATtiny",AVR,8-Bit,16MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,4KB (2K x 16),FLASH,256 x 8,256 x 8,2.7 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 105¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-7598_Automotive-Microcontrollers-ATtiny25-45-85_Datasheet.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY45V-15STCT-ND,ATTINY45V-15ST,Atmel,IC MCU 8BIT 4KB FLASH 8SOIC,3593,0,3.28,0,1,Cut Tape (CT),AVR¨ ATtiny,AVR,8-Bit,8MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,4KB (2K x 16),FLASH,256 x 8,256 x 8,1.8 V ~ 3.6 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-7598_Automotive-Microcontrollers-ATtiny25-45-85_Datasheet.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY45-15STCT-ND,ATTINY45-15ST,Atmel,IC MCU 8BIT 4KB FLASH 8SOIC,1686,0,3.15,0,1,Cut Tape (CT),"Automotive, AEC-Q100, AVR¨ ATtiny",AVR,8-Bit,16MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,4KB (2K x 16),FLASH,256 x 8,256 x 8,2.7 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-7598_Automotive-Microcontrollers-ATtiny25-45-85_Datasheet.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY25-15SZCT-ND,ATTINY25-15SZ,Atmel,IC MCU 8BIT 2KB FLASH 8SOIC,5987,0,2.87,0,1,Cut Tape (CT),"Automotive, AEC-Q100, AVR¨ ATtiny",AVR,8-Bit,16MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,2KB (1K x 16),FLASH,128 x 8,128 x 8,2.7 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 125¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY25V-10SSNRCT-ND,ATTINY25V-10SSNR,Atmel,IC MCU 8BIT 2KB FLASH 8SOIC,3614,0,2.73,0,1,Cut Tape (CT),AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,2KB (1K x 16),FLASH,128 x 8,128 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 105¡C,"8-SOIC (0.154"", 3.90mm Width)",8-SOIC,,SOIC127P600X175-8L86_HS,SMD-SOIC8-JEDEC
