Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Circuit,Switch Function,Contact Rating @ Voltage,Actuator Type,Mounting Type,"Actuator Height off PCB, from Pins",Actuator Orientation,Termination Style,Outline,Illumination,Illumination Voltage (Nominal),"Illumination Type, Color",Operating Force,Ingress Protection,Features,Stock,Query,Package,Device
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/photos/Tyco%20Photos/FSM4JH.JPG,450-1650-ND,1825910-6,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,109449,0,0.1,0,1,Bulk,FSMJ,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,Through Hole,5.00mm,Top Actuated,PC Pin,6.00mm x 6.00mm,Non-Illuminated,-,-,160gf,-,-,,,TE_x-1825910-y,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/Photos/TE%20Connectivity/FSM16JH.JPG,450-1643-ND,3-1825910-1,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,44121,0,0.15,0,1,Bulk,FSMJ,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,Through Hole,17.00mm,Top Actuated,PC Pin,6.00mm x 6.00mm,Non-Illuminated,-,-,160gf,-,-,,,TE_x-1825910-y,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/photos/Tyco%20Photos/FSM18JH.jpg,450-1644-ND,3-1825910-5,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,39222,0,0.1,0,1,Bulk,FSMJ,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,Through Hole,8.50mm,Top Actuated,PC Pin,6.00mm x 6.00mm,Non-Illuminated,-,-,160gf,-,-,,,TE_x-1825910-y,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/photos/Tyco%20Photos/FSM10JH.JPG,450-1647-ND,1-1825910-8,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,16250,0,0.1,0,1,Bulk,FSMJ,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,Through Hole,7.30mm,Top Actuated,PC Pin,6.00mm x 6.00mm,Non-Illuminated,-,-,160gf,-,-,,,TE_x-1825910-y,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/photos/Tyco%20Photos/FSM14JH.jpg,450-1642-ND,2-1825910-7,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,6655,0,0.1,0,1,Bulk,FSMJ,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,Through Hole,13.00mm,Top Actuated,PC Pin,6.00mm x 6.00mm,Non-Illuminated,-,-,160gf,-,-,,,TE_x-1825910-y,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/Photos/TE%20Connectivity/FSM2JH.JPG,450-1649-ND,1825910-2,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,46580,0,0.12,0,1,Bulk,FSMJ,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,Through Hole,4.30mm,Top Actuated,PC Pin,6.00mm x 6.00mm,Non-Illuminated,-,-,160gf,-,-,,,TE_x-1825910-y,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/Photos/TE%20Connectivity/FSM8JH.JPG,450-1653-ND,1-1825910-4,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,29794,0,0.12,0,1,Bulk,FSMJ,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,Through Hole,9.50mm,Top Actuated,PC Pin,6.00mm x 6.00mm,Non-Illuminated,-,-,160gf,-,-,,,TE_x-1825910-y,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/Photos/TE%20Connectivity/FSM6JH.JPG,450-1652-ND,1-1825910-0,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,9001,0,0.12,0,1,Bulk,FSMJ,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,Through Hole,7.00mm,Top Actuated,PC Pin,6.00mm x 6.00mm,Non-Illuminated,-,-,160gf,-,-,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825027&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/Photos/TE%20Connectivity/FSMRA2JH.JPG,450-1662-ND,1825027-5,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,55245,0,0.16,0,1,Bulk,FSMRAJ,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,"Through Hole, Right Angle",3.86mm,Side Actuated,PC Pin,7.10mm x 7.00mm,Non-Illuminated,-,-,160gf,-,-,,,TE_x-1824027-y,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825027&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/photos/Tyco%20Photos/FSMRA7JH.JPG,450-1661-ND,2-1825027-0,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,23047,0,0.14,0,1,Bulk,FSMRAJ,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,"Through Hole, Right Angle",11.85mm,Side Actuated,PC Pin,7.10mm x 7.00mm,Non-Illuminated,-,-,160gf,-,-,,,TE_x-1824027-y,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825027&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/Photos/TE%20Connectivity/FSMRA5JH.JPG,450-1659-ND,1-1825027-4,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,16488,0,0.18,0,1,Bulk,FSMRAJ,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,"Through Hole, Right Angle",6.15mm,Side Actuated,PC Pin,7.10mm x 7.00mm,Non-Illuminated,-,-,160gf,-,-,,,TE_x-1824027-y,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825027&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/Photos/TE%20Connectivity/FSMRA4JH.JPG,450-1658-ND,1-1825027-1,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,38978,0,0.23,0,1,Bulk,FSMRAJ,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,"Through Hole, Right Angle",8.35mm,Side Actuated,PC Pin,7.10mm x 7.00mm,Non-Illuminated,-,-,160gf,-,-,,,TE_x-1824027-y,
