"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Mounting Type,Operating Temperature,Applications,Ratings,Package / Case,Size / Dimension,Height - Seated (Max),Thickness (Max),Lead Spacing,Features,Lead Style,Stock Capacitance,Stock,Query,Package,Device
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0201%20Murata%20MLCC%20Caps.jpg,490-10412-1-ND,GRM033R61C123KE84D,Murata Electronics North America,CAP CER 0.012UF 16V 10% X5R 0201,29400,0,0.1,0,1,Cut Tape (CT),GRM,0.012ÂuF,Â±10%,16V,X5R,"Surface Mount, MLCC",-55Â°C ~ 85Â°C,General Purpose,-,0201 (0603 Metric),"0.024"" L x 0.012"" W (0.60mm x 0.30mm)",-,"0.013"" (0.33mm)",-,-,-,#N/A,,0.012ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-3285-1-ND,GRM188R72A104KA35D,Murata Electronics North America,CAP CER 0.1UF 100V 10% X7R 0603,516230,0,0.2,0,1,Cut Tape (CT),GRM,0.1ÂuF,Â±10%,100V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,STOCK,0.1ÂuFSTOCK,,2012-0805_CERAMIC
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-6439-1-ND,GRM188R72A104KA35J,Murata Electronics North America,CAP CER 0.1UF 100V 10% X7R 0603,17472,0,0.28,0,1,Cut Tape (CT),GRM,0.1ÂuF,Â±10%,100V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.1ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-1532-1-ND,GRM188R71C104KA01D,Murata Electronics North America,CAP CER 0.1UF 16V 10% X7R 0603,1997401,0,0.1,0,1,Cut Tape (CT),GRM,0.1ÂuF,Â±10%,16V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.1ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-9690-1-ND,GRM188R71C104KA01J,Murata Electronics North America,CAP CER 0.1UF 16V 10% X7R 0603,17725,0,0.1,0,1,Cut Tape (CT),GRM,0.1ÂuF,Â±10%,16V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.1ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-9731-1-ND,GRM188R71C104JA01D,Murata Electronics North America,CAP CER 0.1UF 16V 5% X7R 0603,281,0,0.11,0,1,Cut Tape (CT),GRM,0.1ÂuF,Â±5%,16V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.1ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-9653-1-ND,GRM188R61C104KA01D,Murata Electronics North America,CAP CER 0.1UF 16V 10% X5R 0603,420,0,0.1,0,1,Cut Tape (CT),GRM,0.1ÂuF,Â±10%,16V,X5R,"Surface Mount, MLCC",-55Â°C ~ 85Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.1ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-9691-1-ND,GRM188R71E104JA01J,Murata Electronics North America,CAP CER 0.1UF 25V 5% X7R 0603,18955,0,0.12,0,1,Cut Tape (CT),GRM,0.1ÂuF,Â±5%,25V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.1ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-1577-1-ND,GRM188F51C104ZA01D,Murata Electronics North America,CAP CER 0.1UF 16V Y5V 0603,7,0,0.1,0,1,Cut Tape (CT),GRM,0.1ÂuF,"-20%, +80%",16V,Y5V (F),"Surface Mount, MLCC",-30Â°C ~ 85Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.1ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-1524-1-ND,GRM188R71E104KA01D,Murata Electronics North America,CAP CER 0.1UF 25V 10% X7R 0603,6563687,0,0.1,0,1,Cut Tape (CT),GRM,0.1ÂuF,Â±10%,25V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.1ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-9692-1-ND,GRM188R71E104KA01J,Murata Electronics North America,CAP CER 0.1UF 25V 10% X7R 0603,19390,0,0.1,0,1,Cut Tape (CT),GRM,0.1ÂuF,Â±10%,25V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.1ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-9732-1-ND,GRM188R71E104JA01D,Murata Electronics North America,CAP CER 0.1UF 25V 5% X7R 0603,24,0,0.12,0,1,Cut Tape (CT),GRM,0.1ÂuF,Â±5%,25V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.1ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-8269-1-ND,GRM1857U1A103JA44D,Murata Electronics North America,CAP CER 10000PF 10V 5% U2J 0603,15334,0,0.22,0,1,Cut Tape (CT),GRM,10000pF,Â±5%,10V,U2J,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.020"" (0.50mm)",-,-,-,STOCK,,10000pF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-1575-1-ND,GRM188F51E104ZA01D,Murata Electronics North America,CAP CER 0.1UF 25V Y5V 0603,87550,0,0.1,0,1,Cut Tape (CT),GRM,0.1ÂuF,"-20%, +80%",25V,Y5V (F),"Surface Mount, MLCC",-30Â°C ~ 85Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.1ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-9654-1-ND,GRM188R61E104KA01D,Murata Electronics North America,CAP CER 0.1UF 25V 10% X5R 0603,92,0,0.1,0,1,Cut Tape (CT),GRM,0.1ÂuF,Â±10%,25V,X5R,"Surface Mount, MLCC",-55Â°C ~ 85Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.1ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-3295-1-ND,GRM188R71C474KA88D,Murata Electronics North America,CAP CER 0.47UF 16V 10% X7R 0603,172932,0,0.15,0,1,Cut Tape (CT),GRM,0.47ÂuF,Â±10%,16V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,#N/A,,0.47ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-1519-1-ND,GRM188R71H104KA93D,Murata Electronics North America,CAP CER 0.1UF 50V 10% X7R 0603,6721402,0,0.1,0,1,Cut Tape (CT),GRM,0.1ÂuF,Â±10%,50V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.1ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-3291-1-ND,GRM188R71E474KA12D,Murata Electronics North America,CAP CER 0.47UF 25V 10% X7R 0603,330657,0,0.17,0,1,Cut Tape (CT),GRM,0.47ÂuF,Â±10%,25V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,#N/A,,0.47ÂuF,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,http://media.digikey.com/photos/Murata%20Photos/0603%20Murata%20MLCC%20Caps.jpg,490-9735-1-ND,GRM188R71H104KA93J,Murata Electronics North America,CAP CER 0.1UF 50V 10% X7R 0603,6186,0,0.12,0,1,Cut Tape (CT),GRM,0.1ÂuF,Â±10%,50V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,STOCK,,0.1ÂuF,,
