Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Mounting Type,Operating Temperature,Applications,Ratings,Package / Case,Size / Dimension,Height - Seated (Max),Thickness (Max),Lead Spacing,Features,Lead Style,Stock Capacitance,Stock,Query,Package,Device
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_midvoltage_en.pdf,http://media.digikey.com/Photos/TDK%20Photos/FK74-SERIES.jpg,445-2650-ND,FK22X7R2J104K,TDK Corporation,CAP CER 0.1UF 630V 10% RADIAL,25978,0,1.51,0,1,Bulk,FK,0.1åuF,å±10%,630V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.295"" L x 0.157"" W (7.50mm x 4.00mm)","0.315"" (8.00mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/Photos/TDK%20Photos/FK53-SERIES.jpg,445-8532-ND,FK26C0G1H104J,TDK Corporation,CAP CER 0.1UF 50V 5% RADIAL,12047,0,0.79,0,1,Bulk,FK,0.1åuF,å±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.217"" L x 0.138"" W (5.50mm x 3.50mm)","0.236"" (6.00mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_midvoltage_en.pdf,http://media.digikey.com/Photos/TDK%20Photos/FK53-SERIES.jpg,445-4282-ND,FK26X7R2J333K,TDK Corporation,CAP CER 0.033UF 630V 10% RADIAL,21939,0,0.53,0,1,Bulk,FK,0.033åuF,å±10%,630V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.217"" L x 0.138"" W (5.50mm x 3.50mm)","0.236"" (6.00mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,#N/A,,0.033åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_midvoltage_en.pdf,http://media.digikey.com/Photos/TDK%20Photos/FK53-SERIES.jpg,445-2642-ND,FK26X7R2J223K,TDK Corporation,CAP CER 0.022UF 630V 10% RADIAL,11380,0,0.53,0,1,Bulk,FK,0.022åuF,å±10%,630V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.217"" L x 0.138"" W (5.50mm x 3.50mm)","0.236"" (6.00mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,#N/A,,0.022åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-5303-ND,FK18X7R1H104K,TDK Corporation,CAP CER 0.1UF 50V 10% RADIAL,5718,0,0.29,0,1,Bulk,FK,0.1åuF,å±10%,50V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/Photos/TDK%20Photos/FK53-SERIES.jpg,445-8325-ND,FK16C0G1H104J,TDK Corporation,CAP CER 0.1UF 50V 5% RADIAL,3047,0,0.79,0,1,Bulk,FK,0.1åuF,å±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.217"" L x 0.138"" W (5.50mm x 3.50mm)","0.236"" (6.00mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/Photos/TDK%20Photos/FK54-SERIES.jpg,445-4756-ND,FK20C0G1H104J,TDK Corporation,CAP CER 0.1UF 50V 5% RADIAL,4445,0,0.95,0,1,Bulk,FK,0.1åuF,å±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.217"" L x 0.157"" W (5.50mm x 4.00mm)","0.276"" (7.00mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/Photos/TDK%20Photos/FK54-SERIES.jpg,445-4801-ND,FK11C0G1H104J,TDK Corporation,CAP CER 0.1UF 50V 5% RADIAL,1751,0,0.95,0,1,Bulk,FK,0.1åuF,å±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.217"" L x 0.157"" W (5.50mm x 4.00mm)","0.276"" (7.00mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-4805-ND,FK18Y5V1H104Z,TDK Corporation,CAP CER 0.1UF 50V RADIAL,2234,0,0.29,0,1,Bulk,FK,0.1åuF,"-20%, +80%",50V,Y5V (F),Through Hole,-30å¡C ~ 85å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-8421-ND,FK18X7R1E104K,TDK Corporation,CAP CER 0.1UF 25V 10% RADIAL,8931,0,0.29,0,1,Bulk,FK,0.1åuF,å±10%,25V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-8618-ND,FK28X7R1E104K,TDK Corporation,CAP CER 0.1UF 25V 10% RADIAL,2906,0,0.3,0,1,Bulk,FK,0.1åuF,å±10%,25V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-4714-ND,FK28C0G1H100D,TDK Corporation,CAP CER 10PF 50V RADIAL,5499,0,0.3,0,1,Bulk,FK,10pF,Œ±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,STOCK,STOCK,10pFSTOCK,CAPRB500W53L550T250H550_HS,TH-FK24-FK28_CERAMIC
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_midvoltage_en.pdf,http://media.digikey.com/Photos/TDK%20Photos/FK53-SERIES.jpg,445-2634-ND,FK26X7R2A104K,TDK Corporation,CAP CER 0.1UF 100V 10% RADIAL,27973,0,0.44,0,1,Bulk,FK,0.1åuF,å±10%,100V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.217"" L x 0.138"" W (5.50mm x 3.50mm)","0.236"" (6.00mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
