"•ÈÀ""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,ESR (Equivalent Series Resistance),Type,Operating Temperature,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Features,Stock,Query,Package,Column4,Column5
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2336-1-ND,TAJA154K035RNJ,AVX Corporation,CAP TANT 0.15UF 35V 10% 1206,11138,0,1.13,0,1,Cut Tape (CT),TAJ,0.15åuF,å±10%,35V,21 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,0.15åuF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2375-1-ND,TAJA154K050RNJ,AVX Corporation,CAP TANT 0.15UF 50V 10% 1206,0,0,Call,0,1,Cut Tape (CT),TAJ,0.15åµF,å±10%,50V,15 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,0.15åµF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2368-1-ND,TAJA104K035RNJ,AVX Corporation,CAP TANT 0.1UF 35V 10% 1206,22484,0,0.47,0,1,Cut Tape (CT),TAJ,0.1åµF,å±10%,35V,24 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,0.1åµF,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-8926-1-ND,TAJR104K035RNJ,AVX Corporation,CAP TANT 0.1UF 35V 10% 0805,2936,0,0.87,0,1,Cut Tape (CT),TAJ,0.1åµF,å±10%,35V,29 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,,0.1åµF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1648-1-ND,TAJA104K050RNJ,AVX Corporation,CAP TANT 0.1UF 50V 10% 1206,10361,0,0.94,0,1,Cut Tape (CT),TAJ,0.1åuF,å±10%,50V,22 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,0.1åuF,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-3286-1-ND,TAJR104K020RNJ,AVX Corporation,CAP TANT 0.1UF 20V 10% 0805,7303,0,1.11,0,1,Cut Tape (CT),TAJ,0.1åuF,å±10%,20V,25 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,,0.1åuF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2376-1-ND,TAJA224K050RNJ,AVX Corporation,CAP TANT 0.22UF 50V 10% 1206,17462,0,0.56,0,1,Cut Tape (CT),TAJ,0.22åuF,å±10%,50V,18 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,0.22åuF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2337-1-ND,TAJA224K035RNJ,AVX Corporation,CAP TANT 0.22UF 35V 10% 1206,5999,0,1.13,0,1,Cut Tape (CT),TAJ,0.22åuF,å±10%,35V,18 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,0.22åuF,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-3963-1-ND,TAJR224M020RNJ,AVX Corporation,CAP TANT 0.22UF 20V 20% 0805,0,0,Call,0,1,Cut Tape (CT),TAJ,0.22åµF,å±20%,20V,25 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,,0.22åµF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-2377-1-ND,TAJB334K050RNJ,AVX Corporation,CAP TANT 0.33UF 50V 10% 1210,74421,0,1.5,0,1,Cut Tape (CT),TAJ,0.33åuF,å±10%,50V,12 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1210 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,General Purpose,,0.33åuF,,,
