"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,ESR (Equivalent Series Resistance),Type,Operating Temperature,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Features,Stock,Query,Package,Device,Column5
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20SCS%20SERIES%2010.0H,6.0D.jpg",478-8967-1-ND,TAP224K035SRW,AVX Corporation,CAP TANT 0.22UF 35V 10% RADIAL,743,0,0.61,0,1,Cut Tape (CT),TAP,0.22ÂuF,Â±10%,35V,17 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.276"" (7.00mm)","0.098"" (2.50mm)",A,General Purpose,,0.22ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20SCS%20SERIES%2010.0H,6.0D.jpg",478-8976-1-ND,TAP334K035SRW,AVX Corporation,CAP TANT 0.33UF 35V 10% RADIAL,2688,0,0.83,0,1,Cut Tape (CT),TAP,0.33ÂuF,Â±10%,35V,15 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.276"" (7.00mm)","0.098"" (2.50mm)",A,General Purpose,,0.33ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20SCS%20SERIES%2010.0H,6.0D.jpg",478-7380-1-ND,TAP474K050SRW,AVX Corporation,CAP TANT 0.47UF 50V 10% RADIAL,1407,0,0.88,0,1,Cut Tape (CT),TAP,0.47ÂuF,Â±10%,50V,13 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.335"" (8.50mm)","0.098"" (2.50mm)",A,General Purpose,,0.47ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-8983-1-ND,TAP474M050CRS,AVX Corporation,CAP TANT 0.47UF 50V 20% RADIAL,2896,0,0.5,0,1,Cut Tape (CT),TAP,0.47ÂuF,Â±20%,50V,13 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.335"" (8.50mm)","0.197"" (5.00mm)",A,General Purpose,,0.47ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20SCS%20SERIES%2010.0H,6.0D.jpg",478-8982-1-ND,TAP474M035SRS,AVX Corporation,CAP TANT 0.47UF 35V 20% RADIAL,5950,0,0.81,0,1,Cut Tape (CT),TAP,0.47ÂuF,Â±20%,35V,13 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.276"" (7.00mm)","0.098"" (2.50mm)",A,General Purpose,,0.47ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-8981-1-ND,TAP474M035CRW,AVX Corporation,CAP TANT 0.47UF 35V 20% RADIAL,4425,0,0.81,0,1,Cut Tape (CT),TAP,0.47ÂuF,Â±20%,35V,13 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.335"" (8.50mm)","0.197"" (5.00mm)",A,General Purpose,,0.47ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,http://media.digikey.com/photos/AVX%20Photos/TAP474K035CRW.JPG,478-8779-1-ND,TAP474K035CRW,AVX Corporation,CAP TANT RADIAL,1470,0,0.44,0,1,Cut Tape (CT),TAP,0.47ÂuF,Â±10%,35V,13 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.335"" (8.50mm)","0.200"" (5.08mm)",A,General Purpose,,0.47ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20SCS%20SERIES%2010.0H,6.0D.jpg",478-8980-1-ND,TAP474K035SRW,AVX Corporation,CAP TANT 0.47UF 35V 10% RADIAL,1489,0,0.83,0,1,Cut Tape (CT),TAP,0.47ÂuF,Â±10%,35V,13 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.276"" (7.00mm)","0.098"" (2.50mm)",A,General Purpose,,0.47ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,http://media.digikey.com/Renders/AVX%20Renders/TAP106M016BRW.jpg,478-8954-1-ND,TAP105M050BRW,AVX Corporation,CAP TANT 1UF 50V 20% RADIAL,2400,0,0.97,0,1,Cut Tape (CT),TAP,1.0ÂuF,Â±20%,50V,8 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.197"" Dia (5.00mm)","0.335"" (8.50mm)","0.197"" (5.00mm)",C,General Purpose,,1.0ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,http://media.digikey.com/Photos/AVX%20Photos/TAP%20Series%205mm.JPG,478-8952-1-ND,TAP105K050SRW,AVX Corporation,CAP TANT 1UF 50V 10% RADIAL,1026,0,1.03,0,1,Cut Tape (CT),TAP,1.0ÂuF,Â±10%,50V,8 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.197"" Dia (5.00mm)","0.335"" (8.50mm)","0.098"" (2.50mm)",C,General Purpose,,1.0ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20SCS%20SERIES%2010.0H,6.0D.jpg",478-8041-1-ND,TAP105K035SRW,AVX Corporation,CAP TANT 1UF 35V 10% RADIAL,3851,0,0.81,0,1,Cut Tape (CT),TAP,1.0ÂuF,Â±10%,35V,8 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.276"" (7.00mm)","0.098"" (2.50mm)",A,General Purpose,,1.0ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,http://media.digikey.com/Renders/AVX%20Renders/TAP106M016BRW.jpg,478-8953-1-ND,TAP105M035BRW,AVX Corporation,CAP TANT 1UF 35V 20% RADIAL,2334,0,0.81,0,1,Cut Tape (CT),TAP,1.0ÂuF,Â±20%,35V,8 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.276"" (7.00mm)","0.197"" (5.00mm)",A,General Purpose,,1.0ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-7365-1-ND,TAP105K035CRW,AVX Corporation,CAP TANT 1UF 35V 10% RADIAL,1244,0,0.79,0,1,Cut Tape (CT),TAP,1.0ÂuF,Â±10%,35V,8 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.335"" (8.50mm)","0.197"" (5.00mm)",A,General Purpose,,1.0ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,http://media.digikey.com/Renders/AVX%20Renders/TAP104M035DCS.jpg,478-8951-1-ND,TAP105K035DTW,AVX Corporation,CAP TANT 1UF 35V 10% RADIAL,2980,0,0.83,0,1,Cut Tape (CT),TAP,1.0ÂuF,Â±10%,35V,8 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.276"" (7.00mm)","0.098"" (2.50mm)",A,General Purpose,,1.0ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,http://media.digikey.com/Renders/AVX%20Renders/TAP106M016BRW.jpg,478-8949-1-ND,TAP105K025BRS,AVX Corporation,CAP TANT 1UF 25V 10% RADIAL,5993,0,0.83,0,1,Cut Tape (CT),TAP,1.0ÂuF,Â±10%,25V,10 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.276"" (7.00mm)","0.197"" (5.00mm)",A,General Purpose,,1.0ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,http://media.digikey.com/Renders/AVX%20Renders/TAP106M016BRW.jpg,478-8950-1-ND,TAP105K025BRW,AVX Corporation,CAP TANT 1UF 25V 10% RADIAL,1500,0,0.83,0,1,Cut Tape (CT),TAP,1.0ÂuF,Â±10%,25V,10 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.276"" (7.00mm)","0.197"" (5.00mm)",A,General Purpose,,1.0ÂuF,,,
http://www.avx.com/docs/Catalogs/tap.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAP%20CCS%20SERIES%2014.0H,8.5D.jpg",478-7364-1-ND,TAP105K025CRW,AVX Corporation,CAP TANT 1UF 25V 10% RADIAL,1277,0,0.79,0,1,Cut Tape (CT),TAP,1.0ÂuF,Â±10%,25V,10 Ohm,Conformal Coated,-55Â°C ~ 125Â°C,Through Hole,Radial,"0.177"" Dia (4.50mm)","0.335"" (8.50mm)","0.197"" (5.00mm)",A,General Purpose,,1.0ÂuF,,,
