"‹¯¨""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Mounting Type,Operating Temperature,Applications,Ratings,Package / Case,Size / Dimension,Height - Seated (Max),Thickness (Max),Lead Spacing,Features,Lead Style
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/photos/AVX%20Photos/CERAMIC%20NULL%20SERIES%200805.jpg,478-1383-1-ND,08055C103KAT2A,AVX Corporation,CAP CER 10000PF 50V 10% X7R 0805,1071112,0,0.1,0,1,Cut Tape (CT),-,10000pF,¶ñ10%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.037"" (0.94mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/photos/AVX%20Photos/CERAMIC%20NULL%20SERIES%200805.jpg,478-1395-1-ND,08055C104KAT2A,AVX Corporation,CAP CER 0.1UF 50V 10% X7R 0805,2601479,0,0.1,0,1,Cut Tape (CT),-,0.1uF,¶ñ10%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.037"" (0.94mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/photos/AVX%20Photos/CERAMIC%20NULL%20SERIES%200805.jpg,478-3755-1-ND,08053C104KAT2A,AVX Corporation,CAP CER 0.1UF 25V 10% X7R 0805,1316203,0,0.1,0,1,Cut Tape (CT),-,0.1uF,¶ñ10%,25V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.037"" (0.94mm)",-,-,-
http://www.avx.com/docs/Catalogs/ccog.pdf,http://media.digikey.com/photos/AVX%20Photos/CERAMIC%20NULL%20SERIES%200805.jpg,478-1328-1-ND,08055A102JAT2A,AVX Corporation,CAP CER 1000PF 50V 5% NP0 0805,424130,0,0.15,0,1,Cut Tape (CT),-,1000pF,¶ñ5%,50V,"C0G, NP0","Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.037"" (0.94mm)",-,-,-
http://www.avx.com/docs/Catalogs/cy5v.pdf,http://media.digikey.com/photos/AVX%20Photos/CERAMIC%20NULL%20SERIES%200805.jpg,478-1418-1-ND,08055G103ZAT2A,AVX Corporation,CAP CER 10000PF 50V Y5V 0805,136936,0,0.15,0,1,Cut Tape (CT),-,10000pF,"-20%, +80%",50V,Y5V (F),"Surface Mount, MLCC",-30¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.028"" (0.71mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-3352-1-ND,08055C104JAT2A,AVX Corporation,CAP CER 0.1UF 50V 5% X7R 0805,89947,0,0.15,0,1,Cut Tape (CT),-,0.1uF,¶ñ5%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.037"" (0.94mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-5164-1-ND,08055C224KAT2A,AVX Corporation,CAP CER 0.22UF 50V 10% X7R 0805,43244,0,0.18,0,1,Cut Tape (CT),-,0.22uF,¶ñ10%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx5r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-3647-1-ND,08056D226MAT2A,AVX Corporation,CAP CER 22UF 6.3V 20% X5R 0805,122781,0,0.27,0,1,Cut Tape (CT),-,22uF,¶ñ20%,6.3V,X5R,"Surface Mount, MLCC",-55¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx5r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-3648-1-ND,08056D106MAT2A,AVX Corporation,CAP CER 10UF 6.3V 20% X5R 0805,222687,0,0.24,0,1,Cut Tape (CT),-,10uF,¶ñ20%,6.3V,X5R,"Surface Mount, MLCC",-55¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx5r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-1417-1-ND,08056D106KAT2A,AVX Corporation,CAP CER 10UF 6.3V 10% X5R 0805,81029,0,0.24,0,1,Cut Tape (CT),-,10uF,¶ñ10%,6.3V,X5R,"Surface Mount, MLCC",-55¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
