"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Color,Wavelength - Dominant,Wavelength - Peak,Millicandela Rating,Voltage - Forward (Vf) (Typ),Current - Test,Viewing Angle,Lens Type,Lens Style/Size,Package / Case,Size / Dimension,Height,Mounting Type,Stock Color?,Stock,Brightness,Query,Package,Device,Column3
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C170K%20Series.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C170YKT,LTST-C170CKT,LTST-C170AKT,LTST-C170EKT,LTST-C170GKT.jpg",160-1417-1-ND,LTST-C170KYKT,Lite-On Inc,LED AMBER YELLOW CLEAR 0805 SMD,0,0,Call,0,1,Cut Tape (CT),-,Amber,595nm,598nm,80mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.4mm x 1.25mm",0805 (2012 Metric),2.00mm L x 1.25mm W,1.10mm,Surface Mount,,,,Amber,,,
http://optoelectronics.liteon.com/upload/download/DS22-2000-223/S_110_LTST-C191KRKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1447-1-ND,LTST-C191KRKT,Lite-On Inc,LED SUPER RED CLR THIN 0603 SMD,390246,0,0.3,0,1,Cut Tape (CT),-,Red,631nm,639nm,54mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.55mm,Surface Mount,#N/A,,,Red,,,
http://optoelectronics.liteon.com/upload/download/DS22-2000-228/S_110_LTST-C191KGKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1446-1-ND,LTST-C191KGKT,Lite-On Inc,LED GREEN CLEAR THIN 0603 SMD,267307,0,0.3,0,1,Cut Tape (CT),-,Green,571nm,574nm,35mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.55mm,Surface Mount,#N/A,,,Green,,,
http://optoelectronics.liteon.com/upload/download/DS22-2004-060/P_100_LTST-C193TBKT-5A.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C193TBKT-5A.jpg,160-1827-1-ND,LTST-C193TBKT-5A,Lite-On Inc,LED BLUE 0603 SMD,154720,0,0.49,0,1,Cut Tape (CT),-,Blue,470nm,468nm,15mcd,2.8V,5mA,130Â°,Clear,"Rectangle with Flat Top, 1.15mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.35mm,Surface Mount,Stock,Stock,dim,BluedimStock,,2012-0805,
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C190GKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C190AKT,LTST-C190CKT,LTST-C190EKT,LTST-C190GKT,LTST-C190YKT.jpg",160-1183-1-ND,LTST-C190GKT,Lite-On Inc,LED GREEN CLEAR 0603 SMD,585865,0,0.28,0,1,Cut Tape (CT),-,Green,569nm,565nm,6mcd,2.1V,10mA,130Â°,Clear,"Rectangle with Flat Top, 1.1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.80mm,Surface Mount,Stock,Stock,dim,GreendimStock,,2012-0805,
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C191GKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1443-1-ND,LTST-C191GKT,Lite-On Inc,LED GREEN CLEAR THIN 0603 SMD,45062,0,0.37,0,1,Cut Tape (CT),-,Green,569nm,565nm,12mcd,2.1V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.55mm,Surface Mount,Stock,,,Green,,,
http://optoelectronics.liteon.com/upload/download/DS-22-99-0151/S_110_LTST-C190KRKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C190KGKT,LTST-C190KRKT,LTST-C190KSKT,LTST-C190KYKT.jpg",160-1436-1-ND,LTST-C190KRKT,Lite-On Inc,LED SUPER RED CLEAR 0603 SMD,540704,0,0.28,0,1,Cut Tape (CT),-,Red,631nm,639nm,54mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.06mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.80mm,Surface Mount,#N/A,,,Red,,,
http://optoelectronics.liteon.com/upload/download/DS22-2000-074/S_110_LTST-C190KGKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C190KGKT,LTST-C190KRKT,LTST-C190KSKT,LTST-C190KYKT.jpg",160-1435-1-ND,LTST-C190KGKT,Lite-On Inc,LED GREEN CLEAR 0603 SMD,492355,0,0.28,0,1,Cut Tape (CT),-,Green,571nm,574nm,35mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.06mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.80mm,Surface Mount,#N/A,,,Green,,,
http://optoelectronics.liteon.com/upload/download/DS22-2000-300/S_110_LTST-C191TGKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1888-1-ND,LTST-C191TGKT,Lite-On Inc,LED GREEN CLEAR 0603 SMD,86171,0,0.51,0,1,Cut Tape (CT),-,Green,525nm,530nm,260.5mcd,3.2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.55mm,Surface Mount,Stock,Stock,bright,GreenbrightStock,,2012-0805,
http://optoelectronics.liteon.com/upload/download/DS22-2000-032/S_110_LTST-C190TGKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-2019-1-ND,LTST-C190TGKT,Lite-On Inc,LED GREEN CLEAR 0603 SMD,37379,0,0.51,0,1,Cut Tape (CT),-,Green,525nm,530nm,260.5mcd,3.2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.80mm,Surface Mount,Stock,,,Green,,,
