"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Color,Wavelength - Dominant,Wavelength - Peak,Millicandela Rating,Voltage - Forward (Vf) (Typ),Current - Test,Viewing Angle,Lens Type,Lens Style/Size,Package / Case,Size / Dimension,Height,Mounting Type,Target color?,Bright,Stock,Query,Package,Device
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-343.pdf,http://media.digikey.com/Photos/Rohm%20Photos/slr343bc7t3f.JPG,511-1611-ND,SLR343BC7T3F,Rohm Semiconductor,LED 3MM 468NM BLUE TRANSPARENT,3209,0,0.72,0,1,Bulk,SLR-343,Blue,470nm,468nm,470mcd,3.2V,20mA,40Â°,Clear,"Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,bright,Stock,BluebrightStock,LEDRD250W50D400H640_HS,TH-ROHM-4X6-ROUND
http://media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/slr-343.pdf,http://media.digikey.com/Photos/Rohm%20Photos/SLR-343MCT32.jpg,511-1253-1-ND,SLR-343MCT32,Rohm Semiconductor,LED 3.1MM 563NM GREEN TRANSP,23725,0,0.54,0,1,Cut Tape (CT),-,Green,572nm,563nm,25mcd,2.1V,10mA,40Â°,"Clear, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,Green,LEDRD250W50D400H640_HS,4x6-TH-LED
http://media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/slr-343.pdf,http://media.digikey.com/Photos/Rohm%20Photos/SLR-343MCT32.jpg,511-1254-1-ND,SLR-343MGT32,Rohm Semiconductor,LED 3.1MM 563NM GREEN DIFFUSED,6962,0,0.54,0,1,Cut Tape (CT),-,Green,572nm,563nm,16mcd,2.1V,10mA,40Â°,"Diffused, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,Green,LEDRD250W50D400H640_HS,4x6-TH-LED
http://media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/slr-343.pdf,"http://media.digikey.com/Photos/Rohm%20Photos/SLR-343YCT32,SLI-343YC3F.jpg",511-1257-1-ND,SLR-343YCT32,Rohm Semiconductor,LED 3.1MM 585NM YELLOW TRANSP,4948,0,0.54,0,1,Cut Tape (CT),-,Yellow,587nm,585nm,16mcd,2.1V,10mA,40Â°,"Clear, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,Yellow,LEDRD250W50D400H640_HS,4x6-TH-LED
http://media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/slr-343.pdf,"http://media.digikey.com/Photos/Rohm%20Photos/SLR-343VCT32,SLI-343URC3F.jpg",511-1256-1-ND,SLR-343VRT32,Rohm Semiconductor,LED 3.1MM 650NM RED DIFFUSED,12918,0,0.57,0,1,Cut Tape (CT),-,Red,630nm,650nm,16mcd,2V,10mA,40Â°,"Diffused, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,Red,LEDRD250W50D400H640_HS,4x6-TH-LED
http://media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/slr-343.pdf,"http://media.digikey.com/Photos/Rohm%20Photos/SLR-343VCT32,SLI-343URC3F.jpg",511-1255-1-ND,SLR-343VCT32,Rohm Semiconductor,LED 3.1MM 650NM RED TRANSPARENT,9514,0,0.57,0,1,Cut Tape (CT),-,Red,630nm,650nm,25mcd,2V,10mA,40Â°,"Clear, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,Red,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-343.pdf,http://media.digikey.com/Photos/Rohm%20Photos/Radial%20LED%20Blue.jpg,511-1368-ND,SLR343BCT3F,Rohm Semiconductor,LED 3.1MM 468NM BLUE WATER CLEAR,1805,0,2,0,1,Bulk,SLR-343,Blue,470nm,468nm,600mcd,3.3V,20mA,40Â°,Clear,"Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,Blue,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-342.pdf,"http://media.digikey.com/photos/Rohm%20Photos/SLA-360MT3F,SLA-360LT3F.jpg",511-1248-ND,SLR-342MG3F,Rohm Semiconductor,LED 3.1MM 563NM GREEN DIFFUSED,10178,0,0.52,0,1,Bulk,-,Green,572nm,-,16mcd,2.1V,10mA,40Â°,"Diffused, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,dim,Stock,GreendimStock,LEDRD250W50D400H640_HS,TH-ROHM-4X6-ROUND
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-342.pdf,"http://media.digikey.com/photos/Rohm%20Photos/SLA-360MT3F,SLA-360LT3F.jpg",511-1247-ND,SLR-342MC3F,Rohm Semiconductor,LED 3.1MM 563NM GREEN TRANSP,6411,0,0.52,0,1,Bulk,-,Green,572nm,-,25mcd,2.1V,10mA,40Â°,"Clear, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,,,Green,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/sla-370.pdf,"http://media.digikey.com/photos/Rohm%20Photos/SLA-360MT3F,SLA-360LT3F.jpg",511-1191-ND,SLA-370MT3F,Rohm Semiconductor,LED 3MM 563NM GREEN WATER CLEAR,2279,0,0.64,0,1,Bulk,-,Green,570nm,563nm,100mcd,2.3V,20mA,25Â°,Clear,"Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,bright,Stock,GreenbrightStock,LEDRD250W50D400H640_HS,TH-ROHM-4X6-ROUND
