Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,FET Type,FET Feature,Drain to Source Voltage (Vdss),Current - Continuous Drain (Id) @ 25°C,"Rds On (Max) @ Id, Vgs",Vgs(th) (Max) @ Id,Gate Charge (Qg) @ Vgs,Input Capacitance (Ciss) @ Vds,Power - Max,Mounting Type,Package / Case,Supplier Device Package,,Stock,Query,Package,Device
http://www.irf.com/product-info/datasheets/data/irlr120npbf.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/DPAK_369D%E2%88%9201.jpg,IRLU120NPBF-ND,IRLU120NPBF,International Rectifier,MOSFET N-CH 100V 10A I-PAK,1504,0,1.17,0,1,Tube,HEXFET®,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,100V,10A (Tc),"185 mOhm @ 6A, 10V",2V @ 250µA,20nC @ 5V,440pF @ 25V,48W,Through Hole,"TO-251-3 Long Leads, IPak, TO-251AB",I-Pak,,,,I-PAK_TO-251AA_HS,
http://www.irf.com/product-info/datasheets/data/irl520npbf.pdf,http://media.digikey.com/Photos/International%20Rectifier%20Photos/698-TO-220AB.jpg,IRL520NPBF-ND,IRL520NPBF,International Rectifier,MOSFET N-CH 100V 10A TO-220AB,858,0,1.44,0,1,Tube,HEXFET®,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,100V,10A (Tc),"180 mOhm @ 6A, 10V",2V @ 250µA,20nC @ 5V,440pF @ 25V,48W,Through Hole,TO-220-3,TO-220AB,,Stock,,TO254P1524X1054X470-3_HS,
http://www.vishay.com/docs/91325/sihlz14.pdf,http://media.digikey.com/Photos/Vishay%20Siliconix%20Photos/MFG_TO220AB%20Package.jpg,IRLZ14PBF-ND,IRLZ14PBF,Vishay Siliconix,MOSFET N-CH 60V 10A TO-220AB,1433,0,0.91,0,1,Tube,-,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,60V,10A (Tc),"200 mOhm @ 6A, 5V",2V @ 250µA,8.4nC @ 5V,400pF @ 25V,43W,Through Hole,TO-220-3,TO-220AB,,,,TO254P1524X1054X470-3_HS,
http://www.irf.com/product-info/datasheets/data/irlz24npbf.pdf,http://media.digikey.com/Photos/International%20Rectifier%20Photos/698-TO-220AB.jpg,IRLZ24NPBF-ND,IRLZ24NPBF,International Rectifier,MOSFET N-CH 55V 18A TO-220AB,2010,0,1.41,0,1,Tube,HEXFET®,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,55V,18A (Tc),"60 mOhm @ 11A, 10V",2V @ 250µA,15nC @ 5V,480pF @ 25V,45W,Through Hole,TO-220-3,TO-220AB,,Stock,,TO254P1524X1054X470-3_HS,
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en570659,"http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",TN2106N3-G-ND,TN2106N3-G,Microchip Technology,MOSFET N-CH 60V 300MA TO92-3,1838,0,0.6,0,1,Bulk,-,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,60V,300mA (Tj),"2.5 Ohm @ 500mA, 10V",2V @ 1mA,-,50pF @ 25V,740mW,Through Hole,"TO-226-3, TO-92-3 (TO-226AA)",TO-92-3,,,,TO-92-3_HS,
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en570685,"http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",VN0104N3-G-ND,VN0104N3-G,Microchip Technology,MOSFET N-CH 40V 350MA TO92-3,2917,0,0.7,0,1,Bulk,-,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,40V,350mA (Tj),"3 Ohm @ 1A, 10V",2.4V @ 1mA,-,65pF @ 25V,1W,Through Hole,"TO-226-3, TO-92-3 (TO-226AA)",TO-92-3,,,,TO-92-3_HS,
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en570686,"http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",VN0106N3-G-ND,VN0106N3-G,Microchip Technology,MOSFET N-CH 60V 350MA TO92-3,3585,0,0.73,0,1,Bulk,-,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,60V,350mA (Tj),"3 Ohm @ 1A, 10V",2.4V @ 1mA,-,65pF @ 25V,1W,Through Hole,"TO-226-3, TO-92-3 (TO-226AA)",TO-92-3,,,,TO-92-3_HS,
http://www.diodes.com/datasheets/ZVN4206A.pdf,"http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",ZVN4206A-ND,ZVN4206A,Diodes Incorporated,MOSFET N-CH 60V 600MA TO92-3,6096,0,0.76,0,1,Bulk,-,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,60V,600mA (Ta),"1 Ohm @ 1.5A, 10V",3V @ 1mA,-,100pF @ 25V,700mW,Through Hole,"TO-226-3, TO-92-3 (TO-226AA)",TO-92-3,,,,TO-92-3_HS,
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en570655,"http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",TN0606N3-G-ND,TN0606N3-G,Microchip Technology,MOSFET N-CH 60V 500MA TO92-3,1148,0,0.89,0,1,Bulk,-,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,60V,500mA (Tj),"1.5 Ohm @ 750mA, 10V",2V @ 1mA,-,150pF @ 25V,1W,Through Hole,"TO-226-3, TO-92-3 (TO-226AA)",TO-92-3,,,,TO-92-3_HS,
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en570658,"http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",TN0702N3-G-ND,TN0702N3-G,Microchip Technology,MOSFET N-CH 20V 530MA TO92-3,1458,0,1.27,0,1,Bulk,-,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,20V,530mA (Tj),"1.3 Ohm @ 500mA, 5V",1V @ 1mA,-,200pF @ 20V,1W,Through Hole,"TO-226-3, TO-92-3 (TO-226AA)",TO-92-3,,,,TO-92-3_HS,
