Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,FET Type,FET Feature,Drain to Source Voltage (Vdss),Current - Continuous Drain (Id) @ 25°C,"Rds On (Max) @ Id, Vgs",Vgs(th) (Max) @ Id,Gate Charge (Qg) @ Vgs,Input Capacitance (Ciss) @ Vds,Power - Max,Mounting Type,Package / Case,Supplier Device Package,,Stock,Query,Package,Device
http://www.irf.com/product-info/datasheets/data/irlml5103pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML5103PBFCT-ND,IRLML5103TRPBF,International Rectifier,MOSFET P-CH 30V 760MA SOT-23,22825,0,0.4,0,1,Cut Tape (CT),HEXFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,760mA (Ta),"600 mOhm @ 600mA, 10V",1V @ 250µA,5.1nC @ 10V,75pF @ 25V,540mW,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3™/SOT-23,,,,SOT95P237X112-3L40_HS,
http://www.irf.com/product-info/datasheets/data/irlml6302gpbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML6302GTRPBFCT-ND,IRLML6302GTRPBF,International Rectifier,MOSFET P-CH 20V 0.78A SOT-23-3,62013,0,0.41,0,1,Cut Tape (CT),HEXFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,20V,780mA (Ta),"600 mOhm @ 610mA, 4.5V",1.5V @ 250µA,3.6nC @ 4.5V,97pF @ 15V,540mW,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3™/SOT-23,,,,SOT95P237X112-3L40_HS,
http://www.irf.com/product-info/datasheets/data/irlml2246pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML2246TRPBFCT-ND,IRLML2246TRPBF,International Rectifier,MOSFET P-CH 20V 2.6A SOT23,9974,0,0.43,0,1,Cut Tape (CT),HEXFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,20V,2.6A (Ta),"135 mOhm @ 2.6A, 4.5V",1.1V @ 10µA,2.9nC @ 4.5V,220pF @ 16V,1.3W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23,,,,SOT95P237X112-3L40_HS,
http://www.irf.com/product-info/datasheets/data/irlml6302pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML6302PBFCT-ND,IRLML6302TRPBF,International Rectifier,MOSFET P-CH 20V 780MA SOT-23,22158,0,0.46,0,1,Cut Tape (CT),HEXFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,20V,780mA (Ta),"600 mOhm @ 610mA, 4.5V",1.5V @ 250µA,3.6nC @ 4.45V,97pF @ 15V,540mW,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3™/SOT-23,,,,SOT95P237X112-3L40_HS,
http://www.irf.com/product-info/datasheets/data/irlml9301pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML9301TRPBFCT-ND,IRLML9301TRPBF,International Rectifier,MOSFET P-CH 30V 3.6A SOT-23-3,26634,0,0.56,0,1,Cut Tape (CT),HEXFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,3.6A (Ta),"64 mOhm @ 3.6A, 10V",2.4V @ 10µA,4.8nC @ 4.5V,388pF @ 25V,1.3W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3™/SOT-23,,Stock,,SOT95P237X112-3L40_HS,
http://www.irf.com/product-info/datasheets/data/irlml9303pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML9303TRPBFCT-ND,IRLML9303TRPBF,International Rectifier,MOSFET P-CH 30V 2.3A SOT-23-3,9793,0,0.44,0,1,Cut Tape (CT),HEXFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,2.3A (Ta),"165 mOhm @ 2.3A, 10V",2.4V @ 10µA,2nC @ 4.5V,160pF @ 25V,1.25W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3™/SOT-23,,,,SOT95P237X112-3L40_HS,
http://www.irf.com/product-info/datasheets/data/irlml5103gpbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML5103GTRPBFCT-ND,IRLML5103GTRPBF,International Rectifier,MOSFET P-CH 30V 0.76A SOT-23-3,5505,0,0.41,0,1,Cut Tape (CT),HEXFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,760mA (Ta),"600 mOhm @ 600mA, 10V",1V @ 250µA,5.1nC @ 10V,75pF @ 25V,540mW,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3™/SOT-23,,,,SOT95P237X112-3L40_HS,
http://www.vishay.com/docs/72066/si2301bds.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,SI2301BDS-T1-E3CT-ND,SI2301BDS-T1-E3,Vishay Siliconix,MOSFET P-CH 20V 2.2A SOT23-3,162052,0,0.53,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,20V,2.2A (Ta),"100 mOhm @ 2.8A, 4.5V",950mV @ 250µA,10nC @ 4.5V,375pF @ 6V,700mW,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),,,,SOT95P237X112-3L40_HS,
http://www.vishay.com/docs/66709/si2319cd.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,SI2319CDS-T1-GE3CT-ND,SI2319CDS-T1-GE3,Vishay Siliconix,MOSFET P-CH 40V 4.4A SOT-23,26251,0,0.61,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,40V,4.4A (Tc),"77 mOhm @ 3.1A, 10V",2.5V @ 250µA,21nC @ 10V,595pF @ 20V,2.5W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),,Stock,,SOT95P237X112-3L40_HS,
http://www.vishay.com/docs/70953/sq2361ees.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,SQ2361EES-T1-GE3CT-ND,SQ2361EES-T1-GE3,Vishay Siliconix,MOSFET P-CH 60V 2.5A SOT23,377,0,0.62,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,60V,2.5A (Tc),"150 mOhm @ 2.4A, 10V",2.5V @ 250µA,17nC @ 10V,545pF @ 30V,2W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),,,,SOT95P237X112-3L40_HS,
http://www.vishay.com/docs/72699/72699.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,SI2307BDS-T1-E3CT-ND,SI2307BDS-T1-E3,Vishay Siliconix,MOSFET P-CH 30V 2.5A SOT23-3,17390,0,0.48,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,2.5A (Ta),"78 mOhm @ 3.2A, 10V",3V @ 250µA,15nC @ 10V,380pF @ 15V,750mW,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),,,,SOT95P237X112-3L40_HS,
http://www.vishay.com/docs/68980/si2309cd.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,SI2309CDS-T1-GE3CT-ND,SI2309CDS-T1-GE3,Vishay Siliconix,MOSFET P-CH 60V 1.6A SOT23-3,8141,0,0.59,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,60V,1.6A (Tc),"345 mOhm @ 1.25A, 10V",3V @ 250µA,4.1nC @ 4.5V,210pF @ 30V,1.7W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),,,,SOT95P237X112-3L40_HS,
http://www.vishay.com/docs/68980/si2309cd.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,SI2309CDS-T1-E3CT-ND,SI2309CDS-T1-E3,Vishay Siliconix,MOSFET P-CH 60V 1.6A SOT23-3,1598,0,0.59,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,60V,1.6A (Tc),"345 mOhm @ 1.25A, 10V",3V @ 250µA,4.1nC @ 4.5V,210pF @ 30V,1.7W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),,,,SOT95P237X112-3L40_HS,
http://www.irf.com/product-info/datasheets/data/irf7416pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/8-SOIC_751.jpg,IRF7416TRPBFCT-ND,IRF7416TRPBF,International Rectifier,MOSFET P-CH 30V 10A 8-SOIC,19642,0,1.4,0,1,Cut Tape (CT),HEXFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,10A (Ta),"20 mOhm @ 5.6A, 10V",1V @ 250µA,92nC @ 10V,1700pF @ 25V,2.5W,Surface Mount,"8-SOIC (0.154"", 3.90mm Width)",8-SO,,,,SOIC127P600X175-8L86_HS,
http://www.irf.com/product-info/datasheets/data/irf7416pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/8-SOIC_751.jpg,IRF7416PBF-ND,IRF7416PBF,International Rectifier,MOSFET P-CH 30V 10A 8-SOIC,4191,0,1.33,0,1,Tube,HEXFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,10A (Ta),"20 mOhm @ 5.6A, 10V",1V @ 250µA,92nC @ 10V,1700pF @ 25V,2.5W,Surface Mount,"8-SOIC (0.154"", 3.90mm Width)",8-SO,,,,SOIC127P600X175-8L86_HS,
