Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,FET Type,FET Feature,Drain to Source Voltage (Vdss),Current - Continuous Drain (Id) @ 25C,"Rds On (Max) @ Id, Vgs",Vgs(th) (Max) @ Id,Gate Charge (Qg) @ Vgs,Input Capacitance (Ciss) @ Vds,Power - Max,Mounting Type,Package / Case,Supplier Device Package,,Stock,Query,Package,Device
http://www.irf.com/product-info/datasheets/data/irlml2402pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML2402PBFCT-ND,IRLML2402TRPBF,International Rectifier,MOSFET N-CH 20V 1.2A SOT-23,91049,0,0.35,0,1,Cut Tape (CT),HEXFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,20V,1.2A (Ta),"250 mOhm @ 930mA, 4.5V",700mV @ 250µA,3.9nC @ 4.5V,110pF @ 15V,540mW,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3ª/SOT-23,,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.irf.com/product-info/datasheets/data/irlml2803pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML2803PBFCT-ND,IRLML2803TRPBF,International Rectifier,MOSFET N-CH 30V 1.2A SOT-23,22329,0,0.4,0,1,Cut Tape (CT),HEXFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,30V,1.2A (Ta),"250 mOhm @ 910mA, 10V",1V @ 250µA,5nC @ 10V,85pF @ 25V,540mW,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3ª/SOT-23,,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.irf.com/product-info/datasheets/data/irlml2060pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML2060TRPBFCT-ND,IRLML2060TRPBF,International Rectifier,MOSFET N-CH 60V 1.2A SOT23-3,44646,0,0.36,0,1,Cut Tape (CT),HEXFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,60V,1.2A (Ta),"480 mOhm @ 1.2A, 10V",2.5V @ 25µA,0.67nC @ 4.5V,64pF @ 25V,1.25W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3ª/SOT-23,,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.irf.com/product-info/datasheets/data/irfml8244pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRFML8244TRPBFCT-ND,IRFML8244TRPBF,International Rectifier,MOSFET N-CH 25V 5.8A SOT23,21413,0,0.37,0,1,Cut Tape (CT),HEXFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,25V,5.8A (Ta),"24 mOhm @ 5.8A, 10V",2.35V @ 10µA,5.4nC @ 10V,430pF @ 10V,1.25W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23,,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.irf.com/product-info/datasheets/data/irlml6346pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML6346TRPBFCT-ND,IRLML6346TRPBF,International Rectifier,MOSFET N-CH 30V 3.4A SOT23,27188,0,0.41,0,1,Cut Tape (CT),HEXFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,30V,3.4A (Ta),"63 mOhm @ 3.4A, 4.5V",1.1V @ 10µA,2.9nC @ 4.5V,270pF @ 24V,1.3W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23,,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.irf.com/product-info/datasheets/data/irlml2402gpbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML2402GTRPBFCT-ND,IRLML2402GTRPBF,International Rectifier,MOSFET N-CH 20V 1.2A SOT-23-3,17468,0,0.41,0,1,Cut Tape (CT),HEXFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,20V,1.2A (Ta),"250 mOhm @ 930mA, 4.5V",700mV @ 250µA,3.9nC @ 4.5V,110pF @ 15V,540mW,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3ª/SOT-23,,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.irf.com/product-info/datasheets/data/irLML0060pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML0060TRPBFCT-ND,IRLML0060TRPBF,International Rectifier,MOSFET N-CH 60V 2.7A SOT-23-3,74606,0,0.57,0,1,Cut Tape (CT),HEXFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,60V,2.7A (Ta),"92 mOhm @ 2.7A, 10V",2.5V @ 25µA,2.5nC @ 4.5V,290pF @ 25V,1.25W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3ª/SOT-23,,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.irf.com/product-info/datasheets/data/irLML0100pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML0100TRPBFCT-ND,IRLML0100TRPBF,International Rectifier,MOSFET N-CH 100V 1.6A SOT-23-3,19273,0,0.6,0,1,Cut Tape (CT),HEXFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,100V,1.6A (Ta),"220 mOhm @ 1.6A, 10V",2.5V @ 25µA,2.5nC @ 4.5V,290pF @ 25V,1.3W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3ª/SOT-23,,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.irf.com/product-info/datasheets/data/irLML2030pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML2030TRPBFCT-ND,IRLML2030TRPBF,International Rectifier,MOSFET N-CH 30V 2.7A SOT-23-3,11510,0,0.43,0,1,Cut Tape (CT),HEXFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,30V,2.7A (Ta),"100 mOhm @ 2.7A, 10V",2.3V @ 25µA,1nC @ 4.5V,110pF @ 15V,1.3W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3ª/SOT-23,,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.irf.com/product-info/datasheets/data/irlml6246pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML6246TRPBFCT-ND,IRLML6246TRPBF,International Rectifier,MOSFET N-CH 20V 4.1A SOT-23,6014,0,0.46,0,1,Cut Tape (CT),HEXFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,20V,4.1A (Ta),"46 mOhm @ 4.1A, 4.5V",1.1V @ 5µA,3.5nC @ 4.5V,290pF @ 16V,1.3W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3,,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.irf.com/product-info/datasheets/data/irLML0030pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML0030TRPBFCT-ND,IRLML0030TRPBF,International Rectifier,MOSFET N-CH 30V 5.3A SOT-23-3,1510,0,0.56,0,1,Cut Tape (CT),HEXFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,30V,5.3A (Ta),"27 mOhm @ 5.2A, 10V",2.3V @ 25µA,2.6nC @ 4.5V,382pF @ 15V,1.3W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3ª/SOT-23,,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.irf.com/product-info/datasheets/data/irlml0040pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML0040TRPBFCT-ND,IRLML0040TRPBF,International Rectifier,MOSFET N-CH 40V 3.6A SOT-23-3,9359,0,0.58,0,1,Cut Tape (CT),HEXFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,40V,3.6A (Ta),"56 mOhm @ 3.6A, 10V",2.5V @ 25µA,3.9nC @ 4.5V,266pF @ 25V,1.3W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3ª/SOT-23,,Stock,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.irf.com/product-info/datasheets/data/irlml2803gpbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/SOT-23-3.jpg,IRLML2803GTRPBFCT-ND,IRLML2803GTRPBF,International Rectifier,MOSFET N-CH 30V 1.2A SOT-23-3,8405,0,0.41,0,1,Cut Tape (CT),HEXFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,30V,1.2A (Ta),"250 mOhm @ 910mA, 10V",1V @ 250µA,5nC @ 10V,85pF @ 25V,540mW,Surface Mount,"TO-236-3, SC-59, SOT-23-3",Micro3ª/SOT-23,,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.vishay.com/docs/72503/si2304bds.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,SI2304BDS-T1-GE3CT-ND,SI2304BDS-T1-GE3,Vishay Siliconix,MOSFET N-CH 30V 2.6A SOT23-3,47759,0,0.54,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,30V,2.6A (Ta),"70 mOhm @ 2.5A, 10V",3V @ 250µA,4nC @ 5V,225pF @ 15V,750mW,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.vishay.com/docs/67030/si2318cd.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,SI2318CDS-T1-GE3CT-ND,SI2318CDS-T1-GE3,Vishay Siliconix,MOSFET N-CH 40V 5.6A SOT-23,73744,0,0.5,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,40V,5.6A (Tc),"42 mOhm @ 4.3A, 10V",2.5V @ 250µA,9nC @ 10V,340pF @ 20V,2.1W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),,Stock,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.vishay.com/docs/67877/si2338ds.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,SI2338DS-T1-GE3CT-ND,SI2338DS-T1-GE3,Vishay Siliconix,MOSFET N-CH 30V 6A SOT23,5372,0,0.56,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,30V,6A (Tc),"28 mOhm @ 5.5A, 10V",2.5V @ 250µA,13nC @ 10V,424pF @ 15V,2.5W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
http://www.vishay.com/docs/69958/si2308bd.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,SI2308BDS-T1-GE3CT-ND,SI2308BDS-T1-GE3,Vishay Siliconix,MOSFET N-CH 60V 2.3A SOT23-3,76943,0,0.47,0,1,Cut Tape (CT),TrenchFET¨,"MOSFET N-Channel, Metal Oxide",Logic Level Gate,60V,2.3A (Tc),"156 mOhm @ 1.9A, 10V",3V @ 250µA,6.8nC @ 10V,190pF @ 30V,1.66W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),,,,SOT95P237X112-3L40_HS,TH-TO-92-3-OFFSET
