"•ÈÀ""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Resistance (Ohms),Tolerance,Power (Watts),Composition,Features,Temperature Coefficient,Operating Temperature,Package / Case,Supplier Device Package,Size / Dimension,Height,Number of Terminations,In Adafruit Kit,Common part,Stock Part,5% Rohs Part,1% Rohs Part,Stock Resistance,Stock,Query,Package,Column3,Column4,Column5,Column6
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-25JR-1R0.jpg,1.0EBK-ND,CFR-12JB-52-1R,Yageo,RES 1 OHM 1/6W 5% AXIAL,2975,0,0.1,0,1,Bulk,CFR,1,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,1å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-25JR-1R2.jpg,1.2EBK-ND,CFR-12JB-52-1R2,Yageo,RES 1.2 OHM 1/6W 5% AXIAL,5724,0,0.1,0,1,Bulk,CFR,1.2,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,1.2å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-25JR-1R5.jpg,1.5EBK-ND,CFR-12JB-52-1R5,Yageo,RES 1.5 OHM 1/6W 5% AXIAL,5744,0,0.1,0,1,Bulk,CFR,1.5,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,1.5å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-25JR-2R0.jpg,2.0EBK-ND,CFR-12JB-52-2R,Yageo,RES 2 OHM 1/6W 5% AXIAL,7875,0,0.1,0,1,Bulk,CFR,2,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,2å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-25JR-2R7.jpg,2.7EBK-ND,CFR-12JB-52-2R7,Yageo,RES 2.7 OHM 1/6W 5% AXIAL,7175,0,0.1,0,1,Bulk,CFR,2.7,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,2.7å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-25JR-3R3.jpg,3.3EBK-ND,CFR-12JB-52-3R3,Yageo,RES 3.3 OHM 1/6W 5% AXIAL,7277,0,0.1,0,1,Bulk,CFR,3.3,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,3.3å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-25JR-4R3.jpg,4.3EBK-ND,CFR-12JB-52-4R3,Yageo,RES 4.3 OHM 1/6W 5% AXIAL,4113,0,0.1,0,1,Bulk,CFR,4.3,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,4.3å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-25JR-5R1.jpg,5.1EBK-ND,CFR-12JB-52-5R1,Yageo,RES 5.1 OHM 1/6W 5% AXIAL,7464,0,0.1,0,1,Bulk,CFR,5.1,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,5.1å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-25JR-6R8.jpg,6.8EBK-ND,CFR-12JB-52-6R8,Yageo,RES 6.8 OHM 1/6W 5% AXIAL,2580,0,0.1,0,1,Bulk,CFR,6.8,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,6.8å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-25JR-8R2.jpg,8.2EBK-ND,CFR-12JB-52-8R2,Yageo,RES 8.2 OHM 1/6W 5% AXIAL,6371,0,0.1,0,1,Bulk,CFR,8.2,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,8.2å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFN-25JR-52-10R.jpg,10EBK-ND,CFR-12JB-52-10R,Yageo,RES 10 OHM 1/6W 5% AXIAL,10840,0,0.1,0,1,Bulk,CFR,10,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,10å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFN-25JR-52-12R.jpg,12EBK-ND,CFR-12JB-52-12R,Yageo,RES 12 OHM 1/6W 5% AXIAL,5062,0,0.1,0,1,Bulk,CFR,12,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,12å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFN-25JR-52-15R.jpg,15EBK-ND,CFR-12JB-52-15R,Yageo,RES 15 OHM 1/6W 5% AXIAL,1851,0,0.1,0,1,Bulk,CFR,15,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,15å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-25JR-20R.jpg,20EBK-ND,CFR-12JB-52-20R,Yageo,RES 20 OHM 1/6W 5% AXIAL,8466,0,0.1,0,1,Bulk,CFR,20,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,20å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFN-25JR-52-22R.jpg,22EBK-ND,CFR-12JB-52-22R,Yageo,RES 22 OHM 1/6W 5% AXIAL,6571,0,0.1,0,1,Bulk,CFR,22,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,22å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFN-25JR-52-27R.jpg,27EBK-ND,CFR-12JB-52-27R,Yageo,RES 27 OHM 1/6W 5% AXIAL,796,0,0.1,0,1,Bulk,CFR,27,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,27å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFN-25JR-52-33R.jpg,33EBK-ND,CFR-12JB-52-33R,Yageo,RES 33 OHM 1/6W 5% AXIAL,8372,0,0.1,0,1,Bulk,CFR,33,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,33å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-24K.jpg,24KEBK-ND,CFR-12JB-52-24K,Yageo,RES 24K OHM 1/6W 5% AXIAL,12923,0,0.1,0,1,Bulk,CFR,24k,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,#N/A,,24kå±5%,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-360R.jpg,360EBK-ND,CFR-12JB-52-360R,Yageo,RES 360 OHM 1/6W 5% AXIAL,10707,0,0.1,0,1,Bulk,CFR,360,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,#N/A,,360å±5%,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-25JR-43R.jpg,43EBK-ND,CFR-12JB-52-43R,Yageo,RES 43 OHM 1/6W 5% AXIAL,830,0,0.1,0,1,Bulk,CFR,43,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,43å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-51R.jpg,51EBK-ND,CFR-12JB-52-51R,Yageo,RES 51 OHM 1/6W 5% AXIAL,4828,0,0.1,0,1,Bulk,CFR,51,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,51å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-3K9.jpg,3.9KEBK-ND,CFR-12JB-52-3K9,Yageo,RES 3.9K OHM 1/6W 5% AXIAL,9199,0,0.1,0,1,Bulk,CFR,3.9k,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,#N/A,,3.9kå±5%,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-68R.jpg,68EBK-ND,CFR-12JB-52-68R,Yageo,RES 68 OHM 1/6W 5% AXIAL,3484,0,0.1,0,1,Bulk,CFR,68,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,68å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-82R.jpg,82EBK-ND,CFR-12JB-52-82R,Yageo,RES 82 OHM 1/6W 5% AXIAL,6665,0,0.1,0,1,Bulk,CFR,82,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,82å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFN-25JR-52-750R.jpg,750EBK-ND,CFR-12JB-52-750R,Yageo,RES 750 OHM 1/6W 5% AXIAL,8024,0,0.1,0,1,Bulk,CFR,750,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,#N/A,,750å±5%,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-100R.jpg,100EBK-ND,CFR-12JB-52-100R,Yageo,RES 100 OHM 1/6W 5% AXIAL,30433,0,0.1,0,1,Bulk,CFR,100,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,100å±5%Stock,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-4M7.jpg,4.7MEBK-ND,CFR-12JB-52-4M7,Yageo,RES 4.7M OHM 1/6W 5% AXIAL,7600,0,0.1,0,1,Bulk,CFR,4.7M,å±5%,"0.167W, 1/6W",Carbon Film,-,-1500ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,#N/A,,4.7Må±5%,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-1K8.jpg,1.8KEBK-ND,CFR-12JB-52-1K8,Yageo,RES 1.8K OHM 1/6W 5% AXIAL,7523,0,0.1,0,1,Bulk,CFR,1.8k,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,#N/A,,1.8kå±5%,,,,,
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_CFR_2013.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CFN-25JR-52-120R.jpg,120EBK-ND,CFR-12JB-52-120R,Yageo,RES 120 OHM 1/6W 5% AXIAL,2638,0,0.1,0,1,Bulk,CFR,120,å±5%,"0.167W, 1/6W",Carbon Film,-,350ppm/å¡C,-55å¡C ~ 155å¡C,Axial,Axial,"0.075"" Dia x 0.134"" L (1.90mm x 3.40mm)",-,2,,,,,,STOCK,Stock,120å±5%Stock,,,,,
