"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Frequency,Type,Features,Frequency Stability,Frequency Tolerance,Impedance,Capacitance,Operating Temperature,Mounting Type,Package / Case,Size / Dimension,Height,Stock Freq?,Stock,Query,Package,Device
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,"http://media.digikey.com/Photos/Murata%20Photos/CERLOCK,CSTCE3.2%20SERIES.JPG",490-4715-1-ND,CSTCE10M0G55Z-R0,Murata Electronics North America,CER RESONATOR 10MHZ SMD,21820,0,0.49,0,1,Cut Tape (CT),"CERALOCKÂ®, CSTCE",10MHz,Ceramic,Built in Capacitor,Â±0.2%,Â±0.5%,-,33pF,-40Â°C ~ 125Â°C,Surface Mount,"3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.031"" (0.80mm)",Stock,,10MHz,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,"http://media.digikey.com/Photos/Murata%20Photos/CERLOCK,CSTCE3.2%20SERIES.JPG",490-1196-1-ND,CSTCE10M0G55-R0,Murata Electronics North America,CER RESONATOR 10.0MHZ SMD,103151,0,0.46,0,1,Cut Tape (CT),"CERALOCKÂ®, CSTCE",10MHz,Ceramic,Built in Capacitor,Â±0.2%,Â±0.5%,-,33pF,-20Â°C ~ 80Â°C,Surface Mount,"3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.031"" (0.80mm)",Stock,Stock,10MHzStock,MURATA_CSTCExxMyyV53-R0_HS,SMD-V53-R0
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,"http://media.digikey.com/Photos/Murata%20Photos/CERLOCK,CSTCE3.2%20SERIES.JPG",490-1220-1-ND,CSTCE12M0G55Z-R0,Murata Electronics North America,CER RESONATOR 12.0MHZ SMD,12069,0,0.49,0,1,Cut Tape (CT),"CERALOCKÂ®, CSTCE",12MHz,Ceramic,Built in Capacitor,Â±0.2%,Â±0.5%,30 Ohm,33pF,-40Â°C ~ 125Â°C,Surface Mount,"3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.031"" (0.80mm)",Stock,,12MHz,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,"http://media.digikey.com/Photos/Murata%20Photos/CERLOCK,CSTCE3.2%20SERIES.JPG",490-1197-1-ND,CSTCE12M0G55-R0,Murata Electronics North America,CER RESONATOR 12.0MHZ SMD,2771,0,0.46,0,1,Cut Tape (CT),"CERALOCKÂ®, CSTCE",12MHz,Ceramic,Built in Capacitor,Â±0.2%,Â±0.5%,30 Ohm,33pF,-20Â°C ~ 80Â°C,Surface Mount,"3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.031"" (0.80mm)",Stock,Stock,12MHzStock,MURATA_CSTCExxMyyV53-R0_HS,SMD-V53-R0
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,"http://media.digikey.com/Photos/Murata%20Photos/CERLOCK,CSTCE3.2%20SERIES.JPG",490-1198-1-ND,CSTCE16M0V53-R0,Murata Electronics North America,CER RESONATOR 16.0MHZ SMD,105621,0,0.48,0,1,Cut Tape (CT),"CERALOCKÂ®, CSTCE",16MHz,Ceramic,Built in Capacitor,Â±0.3%,Â±0.5%,-,15pF,-20Â°C ~ 80Â°C,Surface Mount,"3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.039"" (1.00mm)",Stock,Stock,16MHzStock,MURATA_CSTCExxMyyV53-R0_HS,SMD-V53-R0
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,"http://media.digikey.com/Photos/Murata%20Photos/CERLOCK,CSTCE3.2%20SERIES.JPG",490-1199-1-ND,CSTCE20M0V53-R0,Murata Electronics North America,CER RESONATOR 20.0MHZ SMD,11674,0,0.48,0,1,Cut Tape (CT),"CERALOCKÂ®, CSTCE",20MHz,Ceramic,Built in Capacitor,Â±0.3%,Â±0.5%,-,15pF,-20Â°C ~ 80Â°C,Surface Mount,"3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.039"" (1.00mm)",Stock,Stock,20MHzStock,MURATA_CSTCExxMyyV53-R0_HS,SMD-V53-R0
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,"http://media.digikey.com/Photos/Murata%20Photos/CERLOCK,CSTCE3.2%20SERIES.JPG",490-1195-1-ND,CSTCE8M00G55-R0,Murata Electronics North America,CER RESONATOR 8.00MHZ SMD,43735,0,0.46,0,1,Cut Tape (CT),"CERALOCKÂ®, CSTCE",8MHz,Ceramic,Built in Capacitor,Â±0.2%,Â±0.5%,-,33pF,-20Â°C ~ 80Â°C,Surface Mount,"3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.031"" (0.80mm)",Stock,Stock,8MHzStock,MURATA_CSTCExxMyyV53-R0_HS,SMD-V53-R0
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,"http://media.digikey.com/Photos/Murata%20Photos/CERLOCK,CSTCE3.2%20SERIES.JPG",490-1219-1-ND,CSTCE8M00G55Z-R0,Murata Electronics North America,CER RESONATOR 8.00MHZ SMD,12636,0,0.49,0,1,Cut Tape (CT),"CERALOCKÂ®, CSTCE",8MHz,Ceramic,Built in Capacitor,Â±0.2%,Â±0.5%,-,33pF,-40Â°C ~ 125Â°C,Surface Mount,"3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.031"" (0.80mm)",Stock,,8MHz,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,"http://media.digikey.com/Photos/Murata%20Photos/CERLOCK,CSTCE3.2%20SERIES.JPG",490-4716-1-ND,CSTCE16M0V53Z-R0,Murata Electronics North America,CER RESONATOR 16.0MHZ SMD,0,0,Call,0,1,Cut Tape (CT),"CERALOCKÂ®, CSTCE",16MHz,Ceramic,Built in Capacitor,Â±0.3%,Â±0.5%,-,15pF,-40Â°C ~ 125Â°C,Surface Mount,"3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.039"" (1.00mm)",Stock,,16MHz,,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,"http://media.digikey.com/Photos/Murata%20Photos/CERLOCK,CSTCE3.2%20SERIES.JPG",490-4717-1-ND,CSTCE20M0V53Z-R0,Murata Electronics North America,CER RESONATOR 20.0MHZ SMD,0,0,Call,0,1,Cut Tape (CT),"CERALOCKÂ®, CSTCE",20MHz,Ceramic,Built in Capacitor,Â±0.3%,Â±0.5%,-,15pF,-40Â°C ~ 125Â°C,Surface Mount,"3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.039"" (1.00mm)",Stock,,20MHz,,
