"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Diode Type,Voltage - DC Reverse (Vr) (Max),Current - Average Rectified (Io),Voltage - Forward (Vf) (Max) @ If,Speed,Reverse Recovery Time (trr),Current - Reverse Leakage @ Vr,"Capacitance @ Vr, F",Mounting Type,Package / Case,Supplier Device Package,Operating Temperature - Junction,Stock,Package,Column3,Column4,Column5
http://www.mccsemi.com/up_pdf/BAT54WS(SOD-323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,BAT54WS-TPCT-ND,BAT54WS-TP,Micro Commercial Co,DIODE SCHOTTKY 30V 200MA SOD323,50688,0,0.28,0,1,Cut Tape (CT),-,Schottky,30V,200mA,1V @ 100mA,"Small Signal =< 200mA (Io), Any Speed",5ns,500nA @ 30V,-,Surface Mount,"SC-76, SOD-323",SOD-323,125Â°C (Max),SPECIAL-ORDER,,,,
http://www.mccsemi.com/up_pdf/BAT42WS-BAT43WS(SOD323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,BAT43WSTPMSCT-ND,BAT43WS-TP,Micro Commercial Co,DIODE SCHOTTKY 30V 100MA SOD323,9495,0,0.4,0,1,Cut Tape (CT),-,Schottky,30V,100mA,1V @ 200mA,"Small Signal =< 200mA (Io), Any Speed",5ns,500nA @ 25V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-55Â°C ~ 125Â°C,SPECIAL-ORDER,,,,
http://www.mccsemi.com/up_pdf/BAT42WS-BAT43WS(SOD323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,BAT42WSTPMSCT-ND,BAT42WS-TP,Micro Commercial Co,DIODE SCHOTTKY 30V 100MA SOD323,9084,0,0.4,0,1,Cut Tape (CT),-,Schottky,30V,100mA,1V @ 200mA,"Small Signal =< 200mA (Io), Any Speed",5ns,500nA @ 25V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-55Â°C ~ 125Â°C,SPECIAL-ORDER,,,,
http://www.mccsemi.com/up_pdf/RB751V-40(SOD-323).PDF,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,RB751V-40-TPMSCT-ND,RB751V-40-TP,Micro Commercial Co,DIODE SCHOTTKY 30V 30MA SOD323,7238,0,0.49,0,1,Cut Tape (CT),-,Schottky,30V,30mA,370mV @ 1mA,"Small Signal =< 200mA (Io), Any Speed",-,500nA @ 30V,"2pF @ 1V, 1MHz",Surface Mount,"SC-76, SOD-323",SOD-323,125Â°C (Max),SPECIAL-ORDER,,,,
http://www.mccsemi.com/up_pdf/RB500V-40(SOD-323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,RB500V-40-TPMSCT-ND,RB500V-40-TP,Micro Commercial Co,DIODE SCHOTTKY 40V 100MA SOD323,9527,0,0.49,0,1,Cut Tape (CT),-,Schottky,40V,100mA,450mV @ 10mA,"Small Signal =< 200mA (Io), Any Speed",-,1ÂµA @ 10V,"6pF @ 10V, 1MHz",Surface Mount,"SC-76, SOD-323",SOD-323,125Â°C (Max),SPECIAL-ORDER,,,,
http://www.mccsemi.com/up_pdf/B5817WS-B5819WS(SOD-323).PDF,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,B5817WS-TPMSCT-ND,B5817WS-TP,Micro Commercial Co,DIODE SCHOTTKY 20V 1A SOD323,22636,0,0.49,0,1,Cut Tape (CT),-,Schottky,20V,1A,450mV @ 1A,"Fast Recovery =< 500ns, > 200mA (Io)",-,1mA @ 20V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-65Â°C ~ 125Â°C,SPECIAL-ORDER,,,,
http://www.mccsemi.com/up_pdf/RB551V-30(SOD-323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,RB551V-30-TPMSCT-ND,RB551V-30-TP,Micro Commercial Co,DIODE SCHOTTKY 20V 500MA SOD323,15634,0,0.49,0,1,Cut Tape (CT),-,Schottky,20V,500mA,470mV @ 500mA,"Fast Recovery =< 500ns, > 200mA (Io)",-,100ÂµA @ 20V,-,Surface Mount,"SC-76, SOD-323",SOD-323,125Â°C (Max),SPECIAL-ORDER,,,,
http://www.mccsemi.com/up_pdf/RB501V-40(SOD-323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,RB501V-40-TPMSCT-ND,RB501V-40-TP,Micro Commercial Co,DIODE SCHOTTKY 40V 100MA SOD323,13747,0,0.49,0,1,Cut Tape (CT),-,Schottky,40V,100mA,550mV @ 100mA,"Small Signal =< 200mA (Io), Any Speed",-,30ÂµA @ 10V,"6pF @ 10V, 1MHz",Surface Mount,"SC-76, SOD-323",SOD-323,125Â°C (Max),SPECIAL-ORDER,,,,
http://www.mccsemi.com/up_pdf/B5817WS-B5819WS(SOD-323).PDF,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,B5818WS-TPMSCT-ND,B5818WS-TP,Micro Commercial Co,DIODE SCHOTTKY 30V 1A SOD323,369,0,0.49,0,1,Cut Tape (CT),-,Schottky,30V,1A,550mV @ 1A,"Fast Recovery =< 500ns, > 200mA (Io)",-,1mA @ 30V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-65Â°C ~ 125Â°C,SPECIAL-ORDER,,,,
http://www.mccsemi.com/up_pdf/B0530WS(SOD323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,B0530WS-TPMSCT-ND,B0530WS-TP,Micro Commercial Co,DIODE SCHOTTKY 30V 500MA SOD323,1534,0,0.49,0,1,Cut Tape (CT),-,Schottky,30V,500mA,550mV @ 500mA,"Fast Recovery =< 500ns, > 200mA (Io)",-,300ÂµA @ 30V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-55Â°C ~ 125Â°C,SPECIAL-ORDER,,,,
