Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Voltage - Zener (Nom) (Vz),Tolerance,Power - Max,Impedance (Max) (Zzt),Current - Reverse Leakage @ Vr,Voltage - Forward (Vf) (Max) @ If,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package,Target Voltage,Stock,Query,Package,Device
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5378BRLGOSCT-ND,1N5378BRLG,ON Semiconductor,DIODE ZENER 100V 5W AXIAL,14393,0,0.54,0,1,Cut Tape (CT),-,100V,å±5%,5W,90 Ohm,500nA @ 76V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,100V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5378BGOS-ND,1N5378BG,ON Semiconductor,DIODE ZENER 100V 5W AXIAL,10376,0,0.53,0,1,Bulk,-,100V,å±5%,5W,90 Ohm,500nA @ 76V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,100V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5378BRLOSCT-ND,1N5378BRL,ON Semiconductor,DIODE ZENER 100V 5W AXIAL,0,0,Call,0,10,Cut Tape (CT),-,100V,å±5%,5W,90 Ohm,500nA @ 76V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,100V,,
http://www.onsemi.com/pub_link/Collateral/1N5913B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/DO-204AL.jpg,1N5925BRLGOSCT-ND,1N5925BRLG,ON Semiconductor,DIODE ZENER 10V 3W AXIAL,27292,12000,0.44,0,1,Cut Tape (CT),-,10V,å±5%,3W,4.5 Ohm,5åµA @ 8V,1.5V @ 200mA,-65å¡C ~ 200å¡C,Through Hole,"DO-204AL, DO-41, Axial",Axial,Stock,,10V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5347BRLGOSCT-ND,1N5347BRLG,ON Semiconductor,DIODE ZENER 10V 5W AXIAL,19481,0,0.54,0,1,Cut Tape (CT),-,10V,å±5%,5W,2 Ohm,5åµA @ 7.6V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,Stock,,10V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5347BGOS-ND,1N5347BG,ON Semiconductor,DIODE ZENER 10V 5W AXIAL,9234,2000,0.53,0,1,Bulk,-,10V,å±5%,5W,2 Ohm,5åµA @ 7.6V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,Stock,Stock,10VStock,DIOAD1660W102L890D370_HS,TH-T18
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5347BOS-ND,1N5347B,ON Semiconductor,DIODE ZENER 10V 5W AXIAL,0,0,Call,0,5000,Bulk,-,10V,å±5%,5W,2 Ohm,5åµA @ 7.6V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,Stock,,10V,,
http://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/1N5333B-D%20Rev3.pdf,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5379BG-ND,1N5379BG,ON Semiconductor,DIODE ZENER 110V 5W AXIAL,0,0,Call,0,8000,Bulk,-,110V,å±5%,5W,125 Ohm,500nA @ 83.6V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,110V,,
http://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/1N5333B-D%20Rev3.pdf,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5379BOS-ND,1N5379B,ON Semiconductor,DIODE ZENER 110V 5W AXIAL,0,0,Call,0,8000,Bulk,-,110V,å±5%,5W,125 Ohm,500nA @ 83.6V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,110V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5348BRLGOSCT-ND,1N5348BRLG,ON Semiconductor,DIODE ZENER 11V 5W AXIAL,11445,0,0.52,0,1,Cut Tape (CT),-,11V,å±5%,5W,2.5 Ohm,5åµA @ 8.4V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,11V,,
