PartName,GadgetronPN,SeeedPN,SeeedManufacturerPartNumber,SeeedDescription,SeeedCategory,SeeedPackage,Manufacturer,Datasheet,Seeed3D-Module,DigikeyPartNumber,SeeedMouserPartNumber,Creator,Reviewer,Datasheet2,Datasheet3,Datasheet4,Cost,Value,Resistance,Capacitance,Material,Inductance,Tolerance,Voltage,Power,PrimarySupplier,PrimarySupplierPartNumber,SecondarySupplier,SecondarySupplierPartNumber,NonPopulated,Comments
ETHERNET_XFRMR_HX1198NL,Seeed0290010P1,0290010P1,HX1198NL,MODULE XFRMR SGL ETHR LAN 16SOIC,IC,16-SOIC,Pulse Electronics Corporation,0290010P1.pdf,16-SOIC,553-1341-ND(compatible),673-HX1198NL(compatible),Swanson,,,,,,,,,,,,,,,,,,,
AUDIO_AMP_LM386_SOP,Seeed1100070P1,1100070P1,LM386M-1,IC AMP AUDIO PWR .325W AB,IC,8-SOIC,National,1100070P1.pdf,8-SOIC,LM386M-1-ND,926-LM386M-1,Swanson,,,,,,,,,,,,,,,,,,,
OPAMP_700KHZ_DUAL_LM358DR,Seeed1110010P1,1110010P1,LM358DR,IC OPAMP GP 700KHZ DUAL,IC,8-SOIC,Texas Instruments,1110010P1.pdf,8-SOIC,296-1014-1-ND,595-LM358DR,Swanson,,,,,,,,,,,,,,,,,,,
LI-ION_CHARGER_CN3065,Seeed1320040P1,1320040P1,CN3065,Lithium Ion Battery Charger for Solar-Powered Systems 4.2V,IC,8-DFN,CONSONANCE,1320040P1.pdf,8-DFN,,,Swanson,,,,,,,,,,,,,,,,,,,
MAXIM_RTC_DS1307_SOP,Seeed1900100P1,1900100P1,DS1307ZN,IC RTC SERIAL 512K IND,IC,8-SOIC,Maxim Integrated,1900100P1.pdf,8-SOIC,DS1307ZN-ND,700-DS1307ZN-NR,Swanson,,,,,,,,,,,,,,,,,,,
DPDT_SLIDE_SWITCH_MS-2218G2ROHS,Seeed3010010P1,3010010P1,MS-22D18 G2 ROHS,SW SLIDE DPDT 6VDC 0.3A PCMNT,Connector,6P-2CH-2.54-9.1X3.5X3.2+2H,,3010010P1.pdf,6P-2CH-2.54-9.1X3.5X3.2+2H,401-2001-ND(compatible),611-JS202011CQN(compatible),Swanson,,,,,,,,,,,,,,,,,,,
BUTTON-TACTILE-6.2X6.2MM-SM,Seeed3100010P1,3100010P1,DTSM-62K-S-V-T/R(SN431),SWITCH TACTILE SPST-NO 0.05A 12V,Connector,4P-SMD-6.0X6.0X5.0H,DIPTRONICS,3100010P1.pdf,4P-SMD-6.0X6.0X5.0H,1301.9315-ND(compatible),693-1301.9315(compatible),Swanson,,,,,,,,,,,,,,,,,,,
MICRO-SD-CARD_ST-TF-003A,Seeed3300060P1,3300060P1,ST-TF-003A,Micro SD Card Socket,Connector,9P-SMD-W/-RING,SUNTECH,3300060P1.pdf,9P-SMD-W/-RING,,,Swanson,,,,,,,,,,,,,,,,,,,
MINI-USB20-RECEPTICAL_ST-USB-013A,Seeed3400030P1,3400030P1,ST-USB-013A,CONN RECEPT MINI USB2.0 5POS,Connector,MINI-B-5P-SMD,SUNTECH,3400030P1.pdf,MINI-B-5P-SMD,H2960CT-ND(compatible),798-UX60-MB-5S8(compatible),Swanson,,,,,,,,,,,,,,,,,,,
POWER-PLUG_DC-005,Seeed3410020P1,3410020P1,DC-005,CONN POWER JACK 2.1MM,Connector,PW-3P-2.1,BEST,3410020P1.pdf,PW-3P-2.1,CP-002A-ND(compatible),,Swanson,Swanson,,,,,,,,,,,,,,,,,,
